index,node_i,node_j,voltage,circuits,dc,x,r,capacity
LTGES1288,ES01185,ES00094,220,1,f,0.95116,0.1896,491.55601918804734
LTGES1289,ES00093,ES00308,220,1,f,0.55685,0.111,491.55601918804734
LTGES1290,ES01187,ES01186,220,1,f,0.93009,0.18539999999999998,491.55601918804734
LTGES1291,ES01189,ES01188,400,1,f,1.58178,0.1929,1787.4764334110814
LTGES1292,ES00664,ES01190,220,1,f,0.00602,0.0012,491.55601918804734
LTGES1293,ES00664,ES01200,220,1,f,4.55714,0.9084,491.55601918804734
LTGES1294,ES01191,ES00665,220,1,f,2.2243899999999996,0.44339999999999996,491.55601918804734
LTGES1295,ES01192,ES00666,220,1,f,3.33207,0.6642,491.55601918804734
LTGES1296,ES01179,ES00666,220,1,f,2.36586,0.4716,491.55601918804734
LTGES1297a,ES00666,ES00414,220,2,f,6.778519999999999,1.3512,983.1120383760947
LTGES1297b,ES00666,ES00414,220,2,f,6.778519999999999,1.3512,983.1120383760947
LTGES1298,ES00665,ES00466,220,1,f,9.34304,1.8623999999999998,491.55601918804734
LTGES1299a,ES00663,ES00414,220,2,f,2.88057,0.5742,983.1120383760947
LTGES1299b,ES00663,ES00414,220,2,f,2.88057,0.5742,983.1120383760947
LTGES1300,ES00939,ES00501,220,1,f,2.85649,0.5694,491.55601918804734
LTGES1301,ES00564,ES01059,220,1,f,3.01,0.6,491.55601918804734
LTGES1302,ES00716,ES01193,220,1,f,0.32207,0.06420000000000001,491.55601918804734
LTGES1303a,ES01194,ES00335,220,2,f,0.5719,0.11399999999999999,983.1120383760947
LTGES1303b,ES01194,ES00335,220,2,f,0.5719,0.11399999999999999,983.1120383760947
LTGES1304a,ES01195,ES01194,220,2,f,2.2876,0.45599999999999996,983.1120383760947
LTGES1304b,ES01195,ES01194,220,2,f,2.2876,0.45599999999999996,983.1120383760947
LTGES1305,ES00894,ES00462,220,1,f,4.09661,0.8165999999999999,491.55601918804734
LTGES1306,ES00099,ES01196,400,1,f,0.7257,0.0885,1787.4764334110814
LTGES1307,ES01197,ES01196,400,1,f,1.32102,0.1611,1787.4764334110814
LTGES1308,ES01198,ES00667,220,1,f,2.7390999999999996,0.5459999999999999,491.55601918804734
LTGES1309,ES00131,ES00668,220,1,f,8.43101,1.6806,491.55601918804734
LTGES1310,ES00140,ES00086,220,1,f,10.432659999999998,2.0795999999999997,491.55601918804734
LTGES1311,ES00473,ES00632,220,1,f,0.6170499999999999,0.12299999999999998,491.55601918804734
LTGES1312a,ES00196,ES00669,400,2,f,32.93448,4.0164,3574.952866822163
LTGES1312b,ES00196,ES00669,400,2,f,32.93448,4.0164,3574.952866822163
LTGES1313,ES00935,ES00776,220,1,f,0.8728999999999999,0.174,491.55601918804734
LTGES1314,ES01202,ES01057,220,1,f,0.62608,0.1248,491.55601918804734
LTGES1316a,ES00571,ES01203,220,2,f,2.75415,0.549,983.1120383760947
LTGES1316b,ES00571,ES01203,220,2,f,2.75415,0.549,983.1120383760947
LTGES1317,ES01037,ES00095,220,1,f,4.08758,0.8148,491.55601918804734
LTGES1318,ES00602,ES01234,220,1,f,2.4862599999999997,0.4956,491.55601918804734
LTGES1319a,ES00097,ES01207,220,2,f,6.420329999999999,1.2797999999999998,983.1120383760947
LTGES1319b,ES00097,ES01207,220,2,f,6.420329999999999,1.2797999999999998,983.1120383760947
LTGES1320a,ES00424,ES01253,220,2,f,2.3177,0.46199999999999997,983.1120383760947
LTGES1320b,ES00424,ES01253,220,2,f,2.3177,0.46199999999999997,983.1120383760947
LTGES1321a,ES01201,ES00377,400,2,f,0.036899999999999995,0.0045,3574.952866822163
LTGES1321b,ES01201,ES00377,400,2,f,0.036899999999999995,0.0045,3574.952866822163
LTGES1322,ES01208,ES00057,220,1,f,6.39625,1.275,491.55601918804734
LTGES1323,ES00330,ES01210,400,1,f,5.790839999999999,0.7061999999999999,1787.4764334110814
LTGES1324,ES01211,ES00646,220,1,f,2.6066599999999998,0.5196,491.55601918804734
LTGES1325a,ES01061,ES00671,220,2,f,0.59297,0.1182,983.1120383760947
LTGES1325b,ES01061,ES00671,220,2,f,0.59297,0.1182,983.1120383760947
LTGES1326,ES01212,ES00650,220,1,f,1.5591799999999998,0.31079999999999997,491.55601918804734
